2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 33 - loglikelihood=-14.404211226245593	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 34 - loglikelihood=-14.39384924482082	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 35 - loglikelihood=-14.384070592850414	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 36 - loglikelihood=-14.374827354881338	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 37 - loglikelihood=-14.366076723998718	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 38 - loglikelihood=-14.357780338613082	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 39 - loglikelihood=-14.349903719965027	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 40 - loglikelihood=-14.34241579294162	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 41 - loglikelihood=-14.335288476153943	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 42 - loglikelihood=-14.328496329870033	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 43 - loglikelihood=-14.322016252494812	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 44 - loglikelihood=-14.315827217961896	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 45 - loglikelihood=-14.309910047744491	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 46 - loglikelihood=-14.304247212275067	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 47 - loglikelihood=-14.2988226574408	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 48 - loglikelihood=-14.293621652536604	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 49 - loglikelihood=-14.288630656641988	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 50 - loglikelihood=-14.283837200868659	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 51 - loglikelihood=-14.279229784322222	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 52 - loglikelihood=-14.274797781949955	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 53 - loglikelihood=-14.270531362719849	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 54 - loglikelihood=-14.266421416804373	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 55 - loglikelihood=-14.262459490633548	0.4166666666666667
